timestamp_us,raw_mag,filtered,ax,ay,az
11155408,0.909,0.282,0.183,0.468,0.758
11167770,0.841,0.412,0.192,0.419,0.703
11177456,0.773,0.494,0.25,0.333,0.652
11187436,0.762,0.545,0.288,0.292,0.642
11197436,0.795,0.583,0.35,0.221,0.679
11207436,0.889,0.622,0.363,0.235,0.776
11217579,0.953,0.665,0.348,0.271,0.845
11227535,1.033,0.709,0.327,0.375,0.905
11237690,1.075,0.752,0.327,0.423,0.933
11247432,1.079,0.784,0.32,0.414,0.944
11257436,1.042,0.799,0.359,0.373,0.904
11267428,0.978,0.792,0.405,0.322,0.829
11277436,0.949,0.771,0.419,0.284,0.803
11287539,0.887,0.738,0.412,0.251,0.744
11297464,0.862,0.697,0.409,0.232,0.723
11307436,0.856,0.656,0.403,0.223,0.722
11317436,0.87,0.62,0.393,0.23,0.742
11327809,0.91,0.593,0.373,0.227,0.798
11337616,0.918,0.573,0.355,0.242,0.811
11347451,0.919,0.554,0.336,0.233,0.823
11357436,1.233,0.57,0.98,0.264,0.699
11367436,1.127,0.601,0.814,0.288,0.723
11377932,0.946,0.589,-0.015,0.72,0.614
11387479,0.94,0.553,0.297,-0.064,0.889
11397444,0.975,0.525,0.357,0.058,0.906
11407436,0.893,0.493,0.288,0.118,0.837
11417703,0.987,0.466,0.245,-0.047,0.956
11427436,0.931,0.446,0.194,0.047,0.909
11437940,0.956,0.423,0.113,0.279,0.907
11447460,1.02,0.412,0.382,0.242,0.915
11457436,1.093,0.415,0.525,0.086,0.955
11467436,1.051,0.418,0.454,0.092,0.944
11477436,0.993,0.406,0.246,0.334,0.902
11488010,1.028,0.39,0.262,0.322,0.94
11497551,1.049,0.382,0.353,0.22,0.963
11507440,1.042,0.373,0.319,0.123,0.984
11517436,1.049,0.364,0.219,0.192,1.007
11527436,1.039,0.354,0.269,0.194,0.985
11539752,1.065,0.344,0.306,0.247,0.99
11547563,1.092,0.341,0.379,0.438,0.926
11557479,1.071,0.336,0.352,0.176,0.996
11567436,1.126,0.333,0.393,0.003,1.055
11577436,1.146,0.336,0.397,0.036,1.075
11588260,1.132,0.337,0.575,0.093,0.97
11597559,1.09,0.329,0.37,0.374,0.955
11607436,1.054,0.311,0.317,0.355,0.94
11617436,1.014,0.286,0.319,0.0,0.962
11627440,1.013,0.26,0.361,-0.038,0.946
11637476,1.036,0.241,0.387,0.139,0.951
11647670,1.076,0.23,0.395,0.294,0.957
11657475,1.09,0.227,0.409,0.255,0.978
11667607,1.127,0.228,0.378,0.176,1.047
11677436,1.103,0.228,0.359,0.105,1.038
11687436,1.092,0.223,0.328,0.103,1.037
11697436,1.043,0.21,0.277,0.167,0.992
11707436,0.963,0.184,0.235,0.145,0.922
11717436,0.98,0.156,0.278,0.16,0.926
11727436,0.99,0.135,0.341,0.153,0.917
11738322,1.018,0.122,0.478,0.291,0.85
11747714,1.038,0.117,0.411,0.173,0.938
11757496,1.006,0.111,0.344,0.079,0.942
11767436,1.074,0.109,0.344,0.04,1.017
11777436,1.098,0.117,0.371,0.053,1.033
11787436,1.124,0.128,0.394,0.034,1.052
11797586,1.086,0.134,0.391,0.027,1.013
11807475,1.038,0.128,0.414,0.103,0.946
11817440,0.966,0.109,0.251,0.306,0.882
11827436,0.961,0.085,0.294,0.259,0.878
11837436,0.974,0.066,0.362,0.177,0.887
11847812,1.025,0.058,0.408,0.171,0.925
11857483,1.007,0.055,0.349,0.112,0.938
11867436,1.041,0.054,0.352,0.061,0.978
11877436,1.076,0.061,0.376,0.017,1.008
11887436,1.075,0.069,0.389,0.036,1.001
11897825,1.063,0.074,0.363,0.036,0.999
11907577,1.044,0.074,0.372,0.036,0.975
11917687,1.038,0.07,0.383,0.04,0.964
11927436,1.021,0.064,0.353,0.026,0.958
11937436,0.994,0.054,0.31,0.005,0.944
11947647,1.297,0.076,-0.127,-0.5,1.19
11957892,1.093,0.104,0.488,-0.067,0.976
11967448,1.033,0.096,0.241,0.209,0.983
11977436,1.037,0.082,0.312,0.048,0.988
11987483,1.061,0.074,0.321,-0.026,1.011
11997436,1.093,0.073,0.352,-0.036,1.034
12007436,1.073,0.073,0.36,-0.026,1.011
12017436,1.037,0.067,0.367,0.017,0.97
12027436,1.061,0.06,0.351,0.011,1.001
12040912,1.078,0.058,0.359,-0.092,1.013
12049097,1.069,0.058,0.365,-0.096,1.0
12057492,1.058,0.055,0.361,0.009,0.995
12067436,1.056,0.05,0.352,0.03,0.995
12077436,1.056,0.046,0.341,-0.002,0.999
12087436,1.057,0.043,0.331,-0.031,1.004
12097554,1.035,0.038,0.295,0.03,0.991
12107515,1.045,0.032,0.302,0.025,1.0
12117440,1.063,0.03,0.334,-0.014,1.009
12127436,1.089,0.034,0.361,-0.094,1.023
12137436,1.101,0.04,0.391,-0.109,1.023
12147885,1.085,0.045,0.404,-0.032,1.006
12157706,1.059,0.043,0.359,-0.018,0.996
12167607,1.054,0.038,0.364,0.009,0.989
12177436,1.069,0.035,0.371,0.06,1.0
12187436,1.047,0.031,0.353,0.02,0.986
12197436,1.103,0.032,0.403,-0.024,1.027
12207545,1.099,0.039,0.323,-0.04,1.05
12217483,1.08,0.041,0.376,-0.041,1.012
12227436,1.11,0.043,0.424,-0.055,1.024
12237436,1.104,0.047,0.435,-0.06,1.013
12247436,1.062,0.045,0.404,-0.049,0.98
12257695,1.036,0.035,0.38,-0.027,0.963
12267468,0.99,0.019,0.364,0.049,0.919
12277436,0.998,0.002,0.372,0.081,0.923
12287436,1.041,-0.006,0.415,0.079,0.951
12297436,1.063,-0.004,0.462,0.042,0.957
12307563,1.062,-0.0,0.468,-0.007,0.954
12317464,1.084,0.005,0.497,-0.056,0.961
12327436,1.083,0.011,0.545,-0.05,0.935
12337436,1.052,0.013,0.528,-0.081,0.906
12348042,1.031,0.008,0.519,-0.09,0.886
12357659,0.995,-0.003,0.466,-0.015,0.878
