timestamp_us,raw_mag,filtered,ax,ay,az
10402136,1.061,0.329,0.448,0.019,0.962
10408264,1.068,0.491,0.421,-0.009,0.981
10418200,1.109,0.617,0.437,-0.019,1.019
10428180,1.047,0.708,0.42,0.022,0.959
10438184,1.06,0.768,0.391,0.01,0.985
10448180,1.038,0.807,0.365,0.025,0.971
10459506,1.038,0.828,0.384,0.007,0.964
10468201,1.052,0.84,0.4,-0.028,0.972
10478180,1.052,0.844,0.411,-0.074,0.965
10488180,1.058,0.841,0.428,-0.074,0.965
10498181,1.07,0.834,0.442,-0.045,0.973
10508180,1.078,0.824,0.456,-0.021,0.977
10518184,1.03,0.806,0.416,-0.027,0.941
10528180,1.055,0.782,0.413,0.015,0.971
10538180,1.031,0.758,0.372,0.002,0.962
10548180,1.044,0.732,0.4,0.003,0.964
10558180,1.03,0.706,0.393,-0.041,0.951
10568180,1.058,0.682,0.436,-0.083,0.961
10578180,1.059,0.661,0.44,-0.071,0.961
10588220,1.052,0.639,0.432,-0.012,0.959
10598315,1.06,0.616,0.452,0.0,0.958
10608164,1.07,0.596,0.449,0.004,0.971
10618180,1.098,0.58,0.46,0.003,0.998
10628164,1.078,0.564,0.43,0.006,0.988
10638180,1.067,0.544,0.427,-0.0,0.978
10648331,1.035,0.519,0.37,0.046,0.965
10658200,1.035,0.492,0.397,0.038,0.955
10668180,1.083,0.472,0.418,0.011,0.999
10678180,1.076,0.458,0.462,0.007,0.972
10688262,1.07,0.442,0.424,0.003,0.983
10698181,1.083,0.426,0.441,0.046,0.988
10708180,1.077,0.412,0.444,0.005,0.981
10718180,1.056,0.395,0.418,0.024,0.969
10728180,1.077,0.378,0.441,0.012,0.982
10738180,1.081,0.365,0.457,0.014,0.979
10748180,1.046,0.348,0.403,0.005,0.965
10758180,1.038,0.328,0.402,0.023,0.957
10768180,1.052,0.31,0.427,0.026,0.961
10778180,1.051,0.295,0.435,0.039,0.956
10788180,1.057,0.282,0.438,0.001,0.961
10798308,1.053,0.27,0.427,-0.007,0.962
10808200,1.061,0.258,0.419,-0.01,0.974
10818180,1.046,0.247,0.413,-0.023,0.96
10828180,1.038,0.233,0.391,0.013,0.962
10838180,1.005,0.217,0.339,0.035,0.945
10848256,0.997,0.197,0.333,0.058,0.938
10858180,1.039,0.184,0.464,0.047,0.928
10868180,1.02,0.175,0.446,0.0,0.917
10878180,1.037,0.167,0.416,0.001,0.95
10888245,1.026,0.16,0.367,-0.057,0.957
10898350,0.997,0.148,0.385,0.0,0.92
10908200,1.008,0.136,0.38,0.019,0.933
10918180,1.01,0.127,0.391,0.032,0.93
10928180,1.038,0.123,0.389,-0.001,0.962
10938180,1.028,0.12,0.383,-0.009,0.954
10948180,1.041,0.118,0.385,0.0,0.967
10958181,1.061,0.119,0.401,0.005,0.982
10968180,1.082,0.123,0.406,0.011,1.002
10978180,1.073,0.127,0.396,-0.013,0.997
10988180,1.079,0.128,0.402,-0.021,1.001
10998898,1.11,0.132,0.406,-0.01,1.033
11008200,1.094,0.136,0.4,0.061,1.016
11018180,1.12,0.14,0.434,0.01,1.032
11028180,1.126,0.144,0.424,0.078,1.04
11038771,1.116,0.147,0.381,0.032,1.049
11048193,1.144,0.149,0.403,0.01,1.07
11058180,1.123,0.151,0.381,0.047,1.055
11068335,1.12,0.148,0.471,-0.027,1.016
11078200,1.141,0.147,0.405,-0.015,1.066
11088180,1.143,0.147,0.473,0.057,1.039
11098237,1.116,0.144,0.397,0.062,1.042
11108220,1.097,0.135,0.36,0.073,1.034
11118180,1.041,0.118,0.336,0.126,0.977
11128180,1.148,0.11,0.45,-0.082,1.053
11139168,1.142,0.114,0.467,-0.11,1.036
11148323,1.077,0.109,0.4,-0.005,1.0
11158201,1.042,0.092,0.388,0.069,0.965
11168181,1.047,0.076,0.378,0.059,0.974
11178181,1.059,0.064,0.386,0.044,0.985
11188181,1.048,0.054,0.358,0.015,0.984
11198198,1.052,0.046,0.335,0.022,0.997
11208180,1.023,0.036,0.285,0.023,0.982
11218180,1.016,0.024,0.325,0.004,0.962
11228180,1.04,0.016,0.359,0.006,0.976
11238180,1.049,0.014,0.387,0.033,0.974
11248180,1.038,0.012,0.347,0.021,0.978
