timestamp_us,raw_mag,filtered,ax,ay,az
10615191,0.999,0.31,0.022,0.281,0.958
10627611,1.012,0.463,0.085,0.426,0.914
10637453,0.997,0.577,0.076,0.396,0.912
10647433,0.98,0.658,0.101,0.383,0.896
10657433,0.943,0.709,0.045,0.414,0.846
10667433,0.965,0.742,0.112,0.428,0.857
10677556,0.97,0.764,0.109,0.397,0.878
10687705,0.992,0.778,0.097,0.399,0.903
10697433,0.992,0.786,0.087,0.405,0.901
10707703,0.882,0.773,0.09,0.373,0.794
10717612,0.899,0.746,0.235,0.316,0.808
10727457,1.032,0.737,0.096,0.452,0.922
10737433,1.09,0.745,0.122,0.473,0.974
10747433,1.025,0.744,0.147,0.453,0.908
10757433,1.057,0.735,0.119,0.516,0.915
10767556,1.065,0.726,0.135,0.551,0.902
10777464,1.229,0.732,0.428,0.855,0.771
10787437,1.116,0.737,0.284,0.721,0.803
10797433,1.166,0.728,0.679,0.91,0.265
10807694,1.497,0.758,0.772,0.256,1.256
10817583,0.852,0.74,-0.052,-0.07,0.848
10827433,0.934,0.657,-0.181,0.486,0.777
10837433,1.061,0.611,0.054,0.747,0.751
10847433,0.977,0.575,0.155,0.509,0.819
10857433,0.956,0.531,0.178,0.42,0.84
10867540,0.954,0.49,0.163,0.432,0.835
10877480,1.04,0.464,0.076,0.535,0.889
10887437,1.062,0.452,-0.014,0.628,0.856
10897433,1.094,0.445,-0.031,0.663,0.87
10910065,1.056,0.436,-0.001,0.643,0.837
10917699,1.064,0.422,0.044,0.613,0.869
10927433,1.07,0.409,0.065,0.625,0.867
10937582,1.069,0.396,0.105,0.636,0.852
10947433,1.071,0.383,0.119,0.64,0.85
10957433,1.019,0.365,0.071,0.631,0.797
10967504,0.98,0.337,-0.026,0.616,0.762
10977504,0.972,0.308,-0.073,0.626,0.74
10987445,0.953,0.28,-0.134,0.63,0.702
10997433,0.949,0.253,-0.121,0.647,0.684
11007957,0.952,0.231,-0.05,0.694,0.649
11017975,0.996,0.216,-0.01,0.692,0.716
11027516,1.034,0.213,-0.059,0.75,0.708
11055417,1.155,0.226,-0.333,0.853,0.703
