timestamp_us,raw_mag,filtered,ax,ay,az
12249761,1.055,0.327,-0.069,1.005,0.313
12257635,1.052,0.487,-0.058,1.004,0.308
12267460,1.059,0.607,-0.054,1.01,0.313
12277436,1.084,0.699,-0.076,1.033,0.318
12287436,1.085,0.768,-0.064,1.038,0.31
12297436,1.106,0.817,-0.059,1.052,0.337
12307555,1.102,0.851,-0.035,1.05,0.332
12317487,1.089,0.869,-0.027,1.04,0.32
12327440,1.044,0.869,-0.027,0.987,0.337
12339067,1.003,0.853,-0.026,0.95,0.32
12347573,0.988,0.827,-0.018,0.936,0.316
12357436,0.963,0.796,-0.084,0.905,0.318
12367436,0.995,0.767,-0.198,0.922,0.316
12377436,1.003,0.743,-0.242,0.919,0.321
12387436,1.001,0.718,-0.246,0.913,0.331
12397523,0.981,0.692,-0.188,0.897,0.35
12407519,0.966,0.661,-0.127,0.893,0.347
12417436,0.963,0.63,-0.065,0.894,0.351
12427436,0.995,0.605,-0.013,0.93,0.354
12437499,1.0,0.584,-0.013,0.932,0.362
12447675,1.016,0.566,-0.066,0.957,0.334
12457463,0.986,0.546,-0.132,0.933,0.292
12467440,0.999,0.524,-0.141,0.942,0.302
12477436,0.958,0.5,-0.113,0.901,0.305
12487436,0.961,0.473,-0.025,0.901,0.333
12497618,0.957,0.448,0.008,0.892,0.346
12507436,0.989,0.428,0.028,0.914,0.379
12517436,0.987,0.413,0.042,0.912,0.376
12527436,1.0,0.399,0.02,0.926,0.377
12538266,0.977,0.384,-0.005,0.906,0.365
12547710,0.955,0.364,0.007,0.882,0.367
12557460,0.95,0.343,0.02,0.872,0.377
12567436,0.971,0.326,0.045,0.891,0.384
12577436,0.985,0.314,0.034,0.913,0.37
12587436,0.986,0.303,0.034,0.917,0.363
12597559,0.971,0.292,0.004,0.902,0.359
12607456,0.997,0.281,-0.062,0.938,0.331
12617436,0.993,0.273,-0.087,0.929,0.338
12627436,0.997,0.265,-0.097,0.928,0.351
12638155,1.028,0.26,-0.071,0.948,0.391
12647643,1.036,0.259,-0.044,0.948,0.415
12657440,1.038,0.257,-0.004,0.941,0.438
12667436,1.055,0.256,0.021,0.964,0.427
12677436,1.05,0.254,0.028,0.959,0.427
12687575,1.032,0.248,0.045,0.945,0.413
12697456,1.023,0.239,0.049,0.935,0.414
12707436,1.014,0.228,0.043,0.928,0.407
12717436,1.026,0.217,0.054,0.944,0.398
12727436,1.02,0.208,0.057,0.946,0.378
12737563,1.012,0.198,0.042,0.94,0.373
12747929,1.036,0.19,0.011,0.958,0.396
12757440,1.025,0.184,-0.017,0.947,0.392
12767436,1.022,0.177,-0.038,0.942,0.394
12777436,1.038,0.171,-0.038,0.953,0.412
12787958,1.049,0.168,-0.037,0.963,0.415
12797440,1.053,0.166,-0.028,0.967,0.416
12807436,1.063,0.165,0.008,0.972,0.432
12817436,1.054,0.163,0.029,0.965,0.421
12827436,1.044,0.157,0.032,0.96,0.408
12837436,1.051,0.152,0.034,0.972,0.398
12849520,1.032,0.145,0.021,0.961,0.375
12857605,1.028,0.136,0.019,0.951,0.388
12867460,1.039,0.129,0.025,0.963,0.388
12877436,1.041,0.123,0.03,0.969,0.379
12887436,1.034,0.118,0.037,0.962,0.377
12897436,1.026,0.111,0.029,0.955,0.376
12907649,1.018,0.103,0.019,0.952,0.362
12917467,1.032,0.097,-0.014,0.964,0.369
12927440,1.03,0.092,-0.067,0.958,0.373
12937436,1.027,0.087,-0.076,0.954,0.372
12947864,1.025,0.083,-0.093,0.946,0.383
12958417,1.009,0.076,-0.1,0.936,0.364
12967476,1.011,0.069,-0.095,0.937,0.37
12977436,1.007,0.062,-0.093,0.936,0.36
12987436,1.016,0.058,-0.106,0.944,0.359
12997571,1.012,0.054,-0.086,0.944,0.355
13007551,1.0,0.049,-0.104,0.932,0.346
13017468,1.023,0.046,-0.077,0.96,0.345
13027436,1.019,0.045,-0.088,0.952,0.354
13037783,1.03,0.045,-0.089,0.966,0.348
13047436,1.023,0.045,-0.084,0.959,0.345
13057682,1.025,0.044,-0.094,0.959,0.348
13067464,1.033,0.044,-0.124,0.971,0.332
13077436,1.039,0.046,-0.15,0.973,0.331
13087436,1.051,0.048,-0.14,0.989,0.329
13097436,1.037,0.05,-0.142,0.969,0.341
13107585,1.044,0.05,-0.12,0.977,0.351
13117460,1.049,0.051,-0.113,0.983,0.349
13127436,1.028,0.049,-0.096,0.967,0.335
13137436,1.023,0.045,-0.089,0.963,0.332
13147436,1.031,0.041,-0.076,0.973,0.335
13157670,1.03,0.039,-0.071,0.97,0.339
13167444,1.036,0.037,-0.059,0.973,0.351
13177436,1.033,0.036,-0.055,0.976,0.333
13187436,1.024,0.034,-0.066,0.962,0.346
13197436,1.037,0.032,-0.058,0.977,0.344
13207436,1.047,0.033,-0.075,0.987,0.341
13217436,1.052,0.035,-0.079,0.995,0.332
13227436,1.034,0.035,-0.077,0.979,0.324
13237436,1.041,0.034,-0.073,0.982,0.336
13247718,1.038,0.033,-0.095,0.98,0.327
13260632,1.037,0.031,-0.102,0.98,0.321
13267535,1.044,0.03,-0.098,0.987,0.324
13277436,1.034,0.029,-0.085,0.981,0.314
13287436,1.054,0.029,-0.097,0.997,0.328
13297436,1.043,0.03,-0.089,0.992,0.308
13307436,1.044,0.029,-0.087,0.992,0.313
13317539,1.059,0.03,-0.094,1.003,0.327
13327491,1.049,0.031,-0.103,0.993,0.321
13337436,1.047,0.031,-0.094,0.993,0.319
13347436,1.061,0.031,-0.097,1.002,0.335
13357515,1.061,0.033,-0.089,1.009,0.317
13367916,1.048,0.032,-0.083,0.991,0.329
13377456,1.051,0.031,-0.07,1.003,0.305
13387436,1.048,0.029,-0.076,0.999,0.309
13397436,1.031,0.025,-0.057,0.985,0.3
13407436,1.044,0.022,-0.084,0.994,0.31
13418760,1.044,0.021,-0.074,0.994,0.313
13427479,1.04,0.019,-0.076,0.991,0.307
13437436,1.041,0.017,-0.092,0.991,0.304
13447436,1.04,0.016,-0.106,0.995,0.286
13457436,1.061,0.016,-0.087,1.014,0.299
13467695,1.039,0.017,-0.064,0.994,0.296
13477444,1.03,0.014,-0.04,0.99,0.281
13487595,1.055,0.013,-0.005,1.02,0.272
13497572,1.07,0.017,0.006,1.044,0.232
13507436,1.074,0.021,-0.001,1.05,0.224
13517476,1.046,0.022,-0.029,1.021,0.226
13527436,0.987,0.013,-0.072,0.955,0.239
13537597,0.956,-0.004,-0.079,0.918,0.255
13547440,0.95,-0.022,-0.134,0.902,0.266
13557436,1.01,-0.029,-0.094,0.956,0.312
13568585,1.027,-0.026,-0.062,0.963,0.35
13577515,1.083,-0.015,0.105,1.018,0.355
13587436,1.055,-0.004,0.363,0.978,0.16
13597436,1.075,0.005,0.465,0.964,0.095
13607436,1.113,0.017,0.551,0.954,0.154
13617436,1.119,0.032,0.405,1.031,0.155
13627558,1.158,0.048,0.3,1.107,0.158
13637452,1.214,0.071,0.082,1.173,0.299
13647436,1.195,0.092,0.012,1.125,0.404
13657436,1.146,0.101,0.055,1.076,0.389
13669106,1.086,0.094,0.166,1.031,0.297
13677590,1.123,0.085,0.197,1.085,0.213
13687456,1.124,0.082,0.148,1.105,0.137
13697436,1.188,0.087,-0.015,1.176,0.171
13707436,1.278,0.107,-0.23,1.21,0.34
13717436,1.314,0.135,-0.308,1.2,0.439
13727544,1.353,0.165,-0.372,1.147,0.614
13737487,1.449,0.202,-0.315,1.197,0.753
13747675,1.5,0.246,-0.273,1.272,0.746
13757436,1.558,0.289,-0.136,1.377,0.715
13767532,1.485,0.32,-0.059,1.356,0.603
13777715,1.428,0.326,-0.019,1.304,0.582
13787460,1.295,0.307,0.051,1.165,0.564
13797436,1.239,0.268,0.048,1.116,0.536
13807436,1.187,0.224,-0.014,1.091,0.469
13817436,1.188,0.183,-0.118,1.116,0.388
13828387,1.278,0.159,-0.227,1.202,0.373
13837480,1.32,0.154,-0.257,1.227,0.413
13847436,1.412,0.165,-0.289,1.308,0.449
13857436,1.397,0.18,-0.27,1.296,0.445
13867765,1.286,0.176,-0.246,1.196,0.403
13877699,1.171,0.146,-0.267,1.086,0.345
13887460,1.139,0.106,-0.277,1.048,0.349
13897436,1.153,0.071,-0.376,1.037,0.336
13907436,1.272,0.059,-0.476,1.109,0.402
13917436,1.339,0.07,-0.492,1.178,0.406
13928362,1.472,0.1,-0.467,1.326,0.438
13937559,1.403,0.13,-0.369,1.288,0.419
13947436,1.309,0.134,-0.319,1.206,0.396
13957436,1.107,0.103,-0.195,1.006,0.419
13967436,0.975,0.04,-0.2,0.857,0.419
13978604,0.991,-0.022,-0.276,0.834,0.458
13987488,1.071,-0.059,-0.328,0.893,0.492
13997578,1.229,-0.06,-0.399,1.052,0.495
14007436,1.298,-0.035,-0.411,1.121,0.511
14017437,1.336,-0.004,-0.452,1.162,0.479
14028184,1.201,0.009,-0.457,0.973,0.537
14037870,1.135,-0.003,-0.476,0.855,0.576
14047436,1.105,-0.023,-0.544,0.722,0.636
14057436,1.19,-0.032,-0.559,0.73,0.755
14067436,1.232,-0.025,-0.565,0.808,0.738
14078118,1.261,-0.011,-0.5,0.947,0.665
14087589,1.294,0.007,-0.458,1.032,0.632
14097460,1.258,0.02,-0.417,1.023,0.601
14107436,1.088,0.007,-0.402,0.833,0.574
14117436,1.001,-0.032,-0.428,0.698,0.575
14127436,0.973,-0.074,-0.416,0.647,0.596
14137555,1.087,-0.097,-0.467,0.707,0.68
14147471,1.284,-0.08,-0.545,0.913,0.72
14157440,1.349,-0.036,-0.562,0.971,0.749
14167436,1.321,0.003,-0.619,0.918,0.721
14177524,1.161,0.011,-0.63,0.694,0.685
14187702,1.119,-0.005,-0.634,0.621,0.682
14197532,1.411,0.011,-1.091,0.508,0.736
14207436,1.048,0.015,-0.64,0.579,0.595
14217436,1.118,-0.014,-0.628,0.654,0.654
14227436,1.249,-0.015,-0.649,0.817,0.687
14237436,1.278,0.003,-0.705,0.834,0.664
14247853,1.271,0.019,-0.754,0.785,0.657
14257448,1.21,0.024,-0.809,0.604,0.666
14267436,1.142,0.013,-0.821,0.472,0.638
14278817,1.081,-0.01,-0.777,0.433,0.615
14287715,1.025,-0.041,-0.668,0.368,0.685
14297456,0.955,-0.079,-0.588,0.461,0.596
14307436,0.974,-0.113,-0.561,0.545,0.58
14317436,1.17,-0.115,-0.58,0.727,0.709
14327436,1.214,-0.089,-0.6,0.795,0.694
14338876,1.14,-0.071,-0.675,0.547,0.738
14347472,1.108,-0.068,-0.726,0.396,0.738
14357436,1.095,-0.071,-0.817,0.225,0.693
14367436,1.113,-0.071,-0.833,0.209,0.708
14377436,1.04,-0.078,-0.79,0.265,0.622
14387695,0.983,-0.097,-0.625,0.412,0.637
14397456,1.002,-0.115,-0.571,0.498,0.656
14407436,1.021,-0.124,-0.524,0.564,0.671
14417436,0.995,-0.13,-0.563,0.452,0.684
14427436,0.996,-0.137,-0.668,0.338,0.656
14437567,1.009,-0.14,-0.805,0.181,0.582
14447460,0.985,-0.142,-0.838,0.085,0.511
14457436,0.954,-0.149,-0.799,0.065,0.517
14467436,0.913,-0.161,-0.673,0.189,0.587
14477563,0.981,-0.166,-0.615,0.359,0.675
14487647,1.046,-0.154,-0.653,0.373,0.727
14497604,1.165,-0.122,-0.792,0.281,0.807
14507436,1.266,-0.073,-0.974,0.182,0.788
14517436,1.269,-0.022,-1.02,0.115,0.747
14527571,1.129,0.003,-0.949,0.041,0.61
14537456,0.916,-0.018,-0.697,-0.001,0.595
14547436,0.79,-0.072,-0.578,0.039,0.538
14557436,0.702,-0.137,-0.479,0.124,0.498
14567436,0.775,-0.188,-0.513,0.119,0.568
14577687,0.827,-0.213,-0.588,0.092,0.573
14587516,0.929,-0.212,-0.719,0.029,0.588
14597618,0.975,-0.194,-0.802,-0.048,0.551
14607436,0.954,-0.175,-0.794,-0.084,0.522
14617577,0.879,-0.17,-0.695,-0.144,0.519
14627468,0.794,-0.183,-0.605,-0.149,0.493
14637436,0.794,-0.201,-0.597,-0.145,0.503
14647436,0.843,-0.208,-0.604,-0.057,0.585
14657436,0.971,-0.191,-0.709,-0.036,0.663
14667547,1.003,-0.159,-0.751,-0.063,0.661
14677468,1.007,-0.129,-0.792,-0.189,0.593
14687735,0.927,-0.113,-0.749,-0.288,0.463
14697623,0.917,-0.11,-0.738,-0.317,0.442
14708434,0.844,-0.116,-0.672,-0.281,0.426
14717543,0.804,-0.133,-0.626,-0.214,0.457
14727437,0.814,-0.148,-0.617,-0.196,0.493
14737436,0.912,-0.146,-0.704,-0.168,0.554
14747671,0.99,-0.124,-0.788,-0.179,0.572
14757571,1.0,-0.096,-0.826,-0.222,0.518
14767456,1.003,-0.072,-0.804,-0.339,0.495
14777436,0.945,-0.059,-0.747,-0.378,0.439
14787436,0.906,-0.059,-0.703,-0.388,0.419
14797631,0.898,-0.064,-0.685,-0.363,0.454
14807585,0.923,-0.066,-0.714,-0.332,0.481
14817456,1.005,-0.055,-0.792,-0.283,0.549
14827436,1.086,-0.027,-0.85,-0.306,0.603
14837440,1.118,0.007,-0.864,-0.323,0.632
14847830,1.136,0.039,-0.89,-0.331,0.623
14857460,1.075,0.059,-0.851,-0.384,0.535
14867436,1.066,0.066,-0.836,-0.421,0.511
14877436,1.035,0.067,-0.822,-0.417,0.472
14887436,1.03,0.062,-0.824,-0.396,0.474
14897686,1.036,0.059,-0.821,-0.404,0.485
14907456,1.021,0.054,-0.788,-0.409,0.505
