timestamp_us,raw_mag,filtered,ax,ay,az
10408555,1.161,0.361,0.212,-0.147,1.132
10417628,1.061,0.525,0.109,0.078,1.053
10427718,1.074,0.639,0.251,0.081,1.042
10437433,1.423,0.762,0.294,-0.027,1.392
10447433,1.016,0.846,-0.064,0.152,1.002
10457433,1.022,0.859,-0.013,0.2,1.002
10467564,1.065,0.868,0.152,0.17,1.04
10477476,1.073,0.873,0.174,0.075,1.056
10487436,1.066,0.871,0.107,0.037,1.06
10498371,1.092,0.864,0.175,0.029,1.077
10507540,1.081,0.854,0.252,-0.025,1.051
10517433,1.201,0.851,0.183,0.025,1.187
10527433,1.043,0.838,0.128,0.075,1.033
10537433,1.064,0.806,0.197,0.062,1.043
10547485,1.003,0.77,0.287,-0.033,0.96
10557570,1.65,0.802,0.383,-0.215,1.59
10567456,1.252,0.849,0.271,-0.098,1.219
10577433,1.025,0.808,0.056,0.155,1.012
10587433,1.147,0.758,0.03,0.375,1.083
10598433,1.037,0.714,0.09,0.158,1.021
10607469,1.067,0.666,0.123,0.069,1.058
10617433,1.08,0.628,0.103,-0.033,1.074
10627433,1.088,0.596,0.078,0.011,1.085
10637433,1.084,0.567,0.09,0.008,1.08
10647433,1.081,0.539,0.127,0.113,1.068
10657559,1.097,0.515,0.189,0.103,1.076
10667448,1.082,0.492,0.202,0.095,1.059
10677575,1.099,0.471,0.206,0.062,1.078
10687480,1.106,0.453,0.21,0.076,1.083
10698961,1.107,0.437,0.217,0.082,1.083
10707582,1.103,0.42,0.167,0.064,1.088
10717457,1.088,0.402,0.103,0.06,1.081
10727433,1.071,0.381,-0.042,0.079,1.067
10737433,1.075,0.36,-0.004,0.077,1.072
10747433,1.061,0.34,0.042,0.065,1.058
10757560,1.088,0.323,0.109,0.019,1.082
10767468,1.091,0.311,0.16,0.006,1.079
10777437,1.084,0.299,0.153,-0.012,1.073
10787433,1.1,0.288,0.136,-0.01,1.092
10797521,1.078,0.276,0.11,0.013,1.073
10807711,1.083,0.263,0.103,0.015,1.078
10817457,1.073,0.251,0.106,0.028,1.067
10827433,1.05,0.235,0.117,0.005,1.043
10837433,1.065,0.22,0.133,-0.004,1.057
10847433,1.104,0.213,0.101,-0.025,1.1
10857556,1.122,0.212,0.066,-0.005,1.12
10867472,1.13,0.213,0.048,0.021,1.129
10877436,1.154,0.215,0.036,0.066,1.152
10887433,1.133,0.216,0.068,0.074,1.128
10898897,1.105,0.209,0.057,0.065,1.102
10909127,1.046,0.192,0.079,0.023,1.042
10917556,1.093,0.176,0.104,-0.007,1.088
10927754,1.104,0.169,0.103,0.058,1.098
10937517,1.019,0.154,0.137,0.024,1.01
10947433,1.083,0.138,0.154,-0.015,1.072
10957433,1.158,0.141,0.12,0.028,1.152
10967433,1.062,0.14,0.064,0.107,1.054
10977433,1.064,0.127,0.062,0.066,1.061
10987619,1.086,0.119,0.061,0.062,1.083
10997485,1.0,0.104,0.083,0.037,0.996
11007656,1.0,0.082,0.118,-0.015,0.993
11017437,1.029,0.068,0.12,-0.028,1.021
