timestamp_us,raw_mag,filtered,ax,ay,az
11154261,1.028,0.319,-0.138,0.64,0.793
11167639,1.06,0.478,-0.055,0.699,0.794
11177453,1.104,0.606,-0.024,0.786,0.774
11187432,1.15,0.711,-0.081,0.863,0.755
11197433,1.156,0.793,-0.116,0.888,0.731
11207433,1.178,0.853,-0.214,0.915,0.711
11217564,1.194,0.897,-0.261,0.931,0.702
11227544,1.192,0.926,-0.286,0.918,0.705
11237707,1.182,0.939,-0.299,0.913,0.688
11247484,1.167,0.939,-0.29,0.902,0.68
11257711,1.152,0.928,-0.286,0.903,0.655
11267433,1.133,0.909,-0.249,0.911,0.627
11277433,1.078,0.879,-0.235,0.89,0.561
11287528,1.081,0.842,-0.221,0.901,0.554
11297507,1.088,0.808,-0.205,0.928,0.529
11307437,1.099,0.778,-0.18,0.947,0.527
11317432,1.111,0.75,-0.181,0.96,0.53
11327516,1.126,0.726,-0.164,0.972,0.544
11337675,1.132,0.704,-0.142,0.989,0.532
11347620,1.138,0.683,-0.156,0.998,0.525
11357452,1.161,0.664,-0.144,1.035,0.505
11367433,1.155,0.646,-0.142,1.037,0.489
11377433,1.158,0.627,-0.14,1.048,0.472
11387441,1.171,0.609,-0.149,1.056,0.484
11397646,1.212,0.596,-0.122,1.085,0.525
11407516,1.218,0.586,-0.1,1.086,0.542
11417433,1.229,0.576,-0.109,1.109,0.518
11427433,1.232,0.565,-0.129,1.116,0.505
11437628,1.235,0.553,-0.14,1.121,0.499
11447445,1.228,0.539,-0.164,1.113,0.493
11457598,1.215,0.521,-0.2,1.103,0.471
11467437,1.212,0.502,-0.204,1.103,0.458
11477432,1.188,0.48,-0.255,1.072,0.442
11487433,1.163,0.453,-0.26,1.047,0.436
11497433,1.16,0.426,-0.26,1.046,0.428
11507605,1.143,0.399,-0.246,1.026,0.44
11517433,1.13,0.372,-0.234,1.013,0.441
11527432,1.118,0.345,-0.246,1.003,0.429
11538549,1.105,0.318,-0.26,0.987,0.423
11547583,1.107,0.294,-0.256,0.991,0.423
11557433,1.1,0.273,-0.253,0.985,0.419
11567433,1.085,0.251,-0.25,0.972,0.412
11577433,1.073,0.229,-0.252,0.96,0.407
11587433,1.087,0.211,-0.246,0.978,0.408
11597750,1.064,0.194,-0.227,0.958,0.406
11607460,1.08,0.179,-0.197,0.979,0.411
11617433,1.085,0.168,-0.182,0.989,0.407
11627432,1.106,0.161,-0.158,1.021,0.396
11639285,1.118,0.158,-0.136,1.049,0.361
11647636,1.105,0.154,-0.135,1.039,0.354
11657516,1.086,0.146,-0.112,1.022,0.349
11667500,1.069,0.135,-0.12,0.996,0.372
11677440,1.061,0.123,-0.123,0.988,0.368
11687433,1.056,0.11,-0.129,0.976,0.381
11697433,1.047,0.098,-0.131,0.969,0.373
11707508,1.055,0.088,-0.123,0.981,0.367
11717504,1.069,0.082,-0.104,1.0,0.362
11727441,1.077,0.079,-0.09,1.007,0.373
11737460,1.08,0.078,-0.091,1.002,0.393
11747606,1.088,0.077,-0.076,1.02,0.371
11757707,1.073,0.075,-0.063,1.001,0.38
11767552,1.079,0.072,-0.048,1.006,0.387
11777481,1.046,0.066,-0.017,0.978,0.37
11787437,1.03,0.055,0.006,0.961,0.369
11797433,1.028,0.045,0.019,0.966,0.349
11807433,1.071,0.04,0.048,1.007,0.36
11817512,1.094,0.044,0.085,1.029,0.36
11827465,1.1,0.05,0.069,1.035,0.366
11838009,1.081,0.053,0.069,1.01,0.378
11847604,1.046,0.049,0.033,0.965,0.401
11857591,1.022,0.038,0.011,0.943,0.393
11867457,1.0,0.025,0.021,0.917,0.398
11877433,1.02,0.014,-0.008,0.947,0.377
11887433,1.035,0.009,-0.03,0.966,0.37
11897433,1.069,0.011,-0.087,0.992,0.389
11907583,1.139,0.024,-0.157,1.037,0.445
11917457,1.182,0.047,-0.165,1.072,0.469
11927433,1.209,0.072,-0.18,1.084,0.504
11937433,1.218,0.095,-0.158,1.086,0.527
11947974,1.227,0.114,-0.127,1.09,0.548
11957602,1.228,0.129,-0.081,1.106,0.528
11967457,1.247,0.141,-0.093,1.139,0.498
11977433,1.233,0.151,-0.061,1.154,0.429
11987433,1.191,0.151,-0.092,1.138,0.338
11997433,1.174,0.143,-0.11,1.112,0.359
12007727,1.174,0.133,-0.119,1.069,0.472
12017472,1.164,0.124,-0.074,0.982,0.621
12027437,1.191,0.118,-0.007,0.967,0.696
12040269,1.247,0.121,0.185,1.021,0.69
12048904,1.26,0.131,0.249,1.042,0.665
12057496,1.237,0.136,0.265,1.032,0.629
12067433,1.111,0.122,0.221,0.953,0.526
12077433,0.946,0.078,0.057,0.857,0.395
12087433,0.905,0.02,-0.042,0.823,0.374
12097528,0.922,-0.028,-0.147,0.791,0.449
12107512,0.931,-0.062,-0.271,0.772,0.443
12117437,0.94,-0.086,-0.346,0.765,0.424
12127433,0.93,-0.104,-0.439,0.718,0.395
12137433,0.952,-0.116,-0.493,0.714,0.392
12147512,0.964,-0.12,-0.507,0.72,0.393
12157707,1.013,-0.115,-0.57,0.741,0.391
12167464,1.039,-0.103,-0.468,0.774,0.511
12177433,1.069,-0.086,-0.46,0.816,0.514
12187433,1.024,-0.074,-0.49,0.813,0.386
12197433,0.999,-0.071,-0.542,0.789,0.286
12207556,0.998,-0.072,-0.592,0.766,0.242
12217464,1.075,-0.064,-0.746,0.755,0.172
12227437,1.15,-0.039,-0.871,0.741,0.127
12237433,1.189,-0.007,-0.906,0.74,0.212
12248892,1.202,0.023,-0.943,0.699,0.261
12257970,1.226,0.051,-0.941,0.699,0.358
12267741,1.223,0.074,-0.932,0.71,0.352
12277468,1.237,0.093,-0.968,0.728,0.254
12287433,1.141,0.098,-0.894,0.702,0.096
12297433,1.111,0.086,-0.879,0.678,0.032
12307433,1.177,0.081,-0.97,0.667,-0.005
12317433,1.226,0.089,-1.025,0.671,0.043
12327560,1.24,0.102,-1.046,0.661,0.083
12337440,1.231,0.111,-1.02,0.638,0.262
12347433,1.188,0.112,-0.948,0.652,0.295
12357520,1.179,0.106,-0.935,0.665,0.273
12367433,1.171,0.098,-0.958,0.653,0.167
12377433,1.088,0.081,-0.917,0.585,0.031
12387433,1.058,0.055,-0.898,0.56,-0.002
12397433,1.047,0.03,-0.89,0.552,-0.004
12407441,1.058,0.01,-0.91,0.536,0.073
12417433,1.054,-0.005,-0.92,0.506,0.093
12427433,1.089,-0.013,-0.974,0.432,0.225
12437433,1.124,-0.011,-1.048,0.354,0.2
12447433,1.126,-0.006,-1.069,0.306,0.178
12461102,1.165,0.003,-1.135,0.261,0.011
12467504,1.166,0.015,-1.138,0.253,-0.026
12477433,1.183,0.025,-1.151,0.271,-0.024
12487433,1.115,0.028,-1.07,0.306,-0.07
12497433,1.094,0.019,-1.03,0.369,-0.013
12508468,1.078,0.009,-1.0,0.403,0.0
12517564,1.069,-0.002,-0.992,0.397,0.03
12527433,1.035,-0.016,-0.972,0.354,0.028
